payload,platform,launch,monitors,sensor,spacecraft-orbits,hq,area_monitored,lifetime_to_first_replacement,avg_lifetime,replacement_costs,missile_range,missile_interception,system_cost,probability_of_success
inc,gnd&air&sea,hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,5122.58,0.7617912875709444
inc,gnd&air&sea,ak&jap&med&wc&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,10272.58,0.8464300027721687
inc,air&sea,wc&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,6172.58,0.8438614124114889
inc,gnd&sea,med&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,7742.58,0.8454683816666357
inc,air,wc,grf,,,disp,52800,30,15.0,50.0,1000,0.9,780,0.7115027850000001
inc,sea,jap&wc,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,6392.58,0.8064894950244
inc,sea,hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,4992.58,0.7313254866719999
inc,gnd&sea,jap&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,6842.58,0.8397571866941566
inc,gnd,wc,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,4518.58,0.7490192332327651
inc,gnd&air&sea,ak&med&wc&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,9372.58,0.8464252415766215
laser,gnd&air,ak&jap&med&wc&hw&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,disp,5972800,4,14.142857142857142,7721.5,380,0.98,10038,0.9308039682844733
inc,air&sea,ak,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,1000,0.9,4012,0.768876711156
inc,gnd&sea,ak&jap,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,7642.58,0.8852953385760839
inc,sea,ak&jap&med&wc&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,10492.58,0.8125808268904723
inc,air&sea,jap&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,7022.58,0.841535560360242
kinetic,gnd&sea,ak&med&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,disp,5972800,4,14.142857142857142,7721.5,125,0.75,7432,0.7116737219416125
inc,gnd&air,med&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,7798.58,0.8892546373310505
laser,gnd&sea,ak&jap&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,disp,5972800,4,14.142857142857142,7721.5,380,0.98,7132,0.929920330003707
inc,gnd&air&sea,ak&jap&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,9422.58,0.8900262211358505
inc,sea,ak&jap&wc&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,8142.58,0.812492458394166
inc,gnd&sea,ak&jap&wc&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,8242.58,0.8460077723029255
inc,air&sea,ak&wc&hw&eu,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,6172.58,0.854115237662211
inc,air,wc,grf,,,disp,52800,30,15.0,50.0,1000,0.9,780,0.7115027850000001
inc,sea,med&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,7742.58,0.8119744361744401
inc,gnd&air,ak&med&wc,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,6898.58,0.8456375430075054
inc,sea,ak&wc&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,7142.58,0.812401042708332
inc,air,jap&med&wc&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,9198.58,0.8722490301638476
laser,sea,jap&wc&hw,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,cent,5972800,4,14.142857142857142,7721.5,380,0.98,7432,0.9391449140569441
inc,air,hw,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,cent,5972800,4,14.142857142857142,7721.5,1000,0.9,3938,0.792998269938
inc,gnd&air,ak&wc&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,7298.58,0.8897218464224679
inc,gnd&sea,jap&wc&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,8342.58,0.8460077723029255
inc,gnd&sea,ak&jap&med&wc&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,10592.58,0.8460997859997043
inc,gnd&air&sea,ak&med&hw,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,7022.58,0.8545571177633658
inc,gnd&sea,jap&med&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,10392.58,0.8897106934682284
kinetic,gnd&sea,ak&jap,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,125,0.75,6782,0.70864683846075
laser,air,ak&jap&med&hw,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,cent,5972800,4,14.142857142857142,7721.5,380,0.98,9338,0.9594060198538598
inc,gnd&sea,ak&med&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,7842.58,0.8454683816666357
inc,air,ak&jap&med&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,10698.58,0.8722948258139366
inc,gnd,ak&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,6018.58,0.8723871069416911
inc,gnd&sea,wc&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,5892.58,0.8697248175458514
inc,gnd&air&sea,ak&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,5772.58,0.8337382425082003
inc,gnd&air&sea,ak&med&wc,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,7622.58,0.8457999378947403
inc,gnd&air&sea,jap&med&hw&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,cent,5972800,4,14.142857142857142,7721.5,1000,0.9,9412,0.8990501006288178
laser,gnd&air,ak&jap&med&wc&hw,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,380,0.98,9388,0.9308010013451556
inc,gnd&sea,jap&med&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,9742.58,0.8460712300248419
inc,gnd&air&sea,ak&med&eu,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,6772.58,0.8543433716108488
inc,gnd&air&sea,ak&med,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,1000,0.9,6112,0.850709687018058
inc,gnd&air,ak&med&wc&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,8298.58,0.8898219626563431
inc,sea,jap&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,6642.58,0.8064894950244
kinetic,gnd&air&sea,ak&med&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,disp,5972800,4,14.142857142857142,7721.5,125,0.75,7462,0.7119528096757073
inc,sea,jap&wc,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,5392.58,0.81463585356
inc,air&sea,wc&hw,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,5072.58,0.884896160149908
inc,gnd,jap&wc&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,6618.58,0.8370343958848369
inc,sea,jap&med&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,8742.58,0.8122791551272199
laser,gnd,wc&hw&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,380,0.98,5108,0.919607001338025
inc,gnd&sea,ak&med&eu,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,6742.58,0.8540084663299351
laser,air&sea,med&hw,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,disp,5972800,4,14.142857142857142,7721.5,380,0.98,6312,0.92559466796076
inc,gnd&sea,jap&med&eu,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,7842.58,0.8543289598749676
inc,sea,med&wc&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,7792.58,0.8535347868467772
inc,gnd,jap,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,5468.58,0.79607826413775
inc,air&sea,ak&jap,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,7022.58,0.841535560360242
inc,gnd&air,ak&jap&med&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,9798.58,0.8898887068122596
kinetic,air&sea,med&hw&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,disp,5972800,4,14.142857142857142,7721.5,125,0.75,7362,0.711388938539475
laser,gnd,jap&med&wc&hw&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,disp,5972800,4,14.142857142857142,7721.5,380,0.98,9008,0.921675598645595
kinetic,gnd&air&sea,ak&med,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,cent,5972800,4,14.142857142857142,7721.5,125,0.75,7362,0.7454903309921405
kinetic,air,jap&med,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,125,0.75,7088,0.69649740995625
kinetic,gnd&air,jap&hw&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,125,0.75,6938,0.7118161136426812
kinetic,air&sea,ak&med,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,disp,5972800,4,14.142857142857142,7721.5,125,0.75,6612,0.7083632662964998
inc,air&sea,med&hw,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,6572.58,0.8938798775118361
inc,air,ak&jap&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,7398.58,0.8290979484376051
inc,gnd&air,jap&med&wc&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,1000,0.9,7738,0.8547723680595913
inc,sea,jap&wc,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,6392.58,0.8064894950244
inc,gnd,ak&jap&wc&hw&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,cent,5972800,4,14.142857142857142,7721.5,1000,0.9,8258,0.8900900852838873
inc,gnd&sea,hw,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,4642.58,0.8088582353367602
inc,gnd&air&sea,ak&med&wc&hw,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,7522.58,0.8549204862226448
inc,gnd&air,med&wc&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,6648.58,0.8453201909148079
inc,gnd,jap,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,6018.58,0.837139143024855
inc,air,ak&wc&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,6648.58,0.8293260644314222
inc,gnd&air,jap&med&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,9798.58,0.8898887068122596
inc,gnd,ak&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,6218.58,0.8367201544647827
inc,gnd&air&sea,ak&wc&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,6622.58,0.8451651118217645
inc,sea,jap&med&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,8892.58,0.81238072811148
kinetic,air&sea,jap&med&wc,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,cent,5972800,4,14.142857142857142,7721.5,125,0.75,8762,0.7483623723264397
inc,air&sea,med&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,6772.58,0.8394211494045629
inc,gnd&sea,med&eu,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,5742.58,0.84823958251935
inc,gnd,jap&med&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,8218.58,0.8376628787249456
inc,gnd&air&sea,jap&med&wc&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,10922.58,0.890087971336207
laser,air,ak&jap&med&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,cent,5972800,4,14.142857142857142,7721.5,380,0.98,9088,0.9593940269787898
inc,gnd,jap&wc,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,5968.58,0.8316922917439126
inc,air&sea,jap&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,6672.58,0.8394211494045629
inc,gnd,ak&jap&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,7368.58,0.8375581315849274
inc,gnd&sea,jap&med&wc&hw,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,9142.58,0.8986976701699277
